experiment,Subject_global,N_train,testMSElabels,testMSElabels_Efron,%trials choose right side,%trials choose complex model,bias (true gen),bias (testMSE),bias (testMSE_Efron),bias (testMAE),bias (testTSE),human_Efron_choiceprobdiff
exp1,43,10.0,0.2916666666666667,0.2916666666666667,0.5208333333333334,0.4375,-0.0625,0.14583333333333334,0.14583333333333334,0.14583333333333334,-0.08333333333333333,0.14583333333333331
exp1,43,50.0,0.5,0.5208333333333334,0.5208333333333334,0.3333333333333333,-0.16666666666666666,-0.16666666666666666,-0.1875,-0.16666666666666666,-0.1875,-0.18750000000000006
exp1,44,10.0,0.2916666666666667,0.2916666666666667,0.6666666666666666,0.5,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,-0.020833333333333332,0.20833333333333331
exp1,44,50.0,0.5,0.5208333333333334,0.6666666666666666,0.4791666666666667,-0.020833333333333332,-0.020833333333333332,-0.041666666666666664,-0.020833333333333332,-0.041666666666666664,-0.041666666666666685
exp1,45,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.020833333333333332,-0.4791666666666667,-0.2708333333333333,-0.2708333333333333,-0.2708333333333333,-0.5,-0.27083333333333337
exp1,45,50.0,0.5,0.5208333333333334,0.5416666666666666,0.0625,-0.4375,-0.4375,-0.4583333333333333,-0.4375,-0.4583333333333333,-0.45833333333333337
exp1,46,10.0,0.2916666666666667,0.2916666666666667,0.375,0.4375,-0.0625,0.14583333333333334,0.14583333333333334,0.14583333333333334,-0.08333333333333333,0.14583333333333331
exp1,46,50.0,0.5,0.5208333333333334,0.3958333333333333,0.6458333333333334,0.14583333333333334,0.14583333333333334,0.125,0.14583333333333334,0.125,0.125
exp1,47,10.0,0.2916666666666667,0.2916666666666667,0.375,0.4583333333333333,-0.041666666666666664,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.0625,0.16666666666666663
exp1,47,50.0,0.5,0.5208333333333334,0.5833333333333334,0.6875,0.1875,0.1875,0.16666666666666666,0.1875,0.16666666666666666,0.16666666666666663
exp1,48,10.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.4166666666666667,-0.08333333333333333,0.125,0.125,0.125,-0.10416666666666667,0.125
exp1,48,50.0,0.5,0.5208333333333334,0.5208333333333334,0.5,0.0,0.0,-0.020833333333333332,0.0,-0.020833333333333332,-0.02083333333333337
exp1,49,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.2916666666666667,-0.20833333333333334,0.0,0.0,0.0,-0.22916666666666666,0.0
exp1,49,50.0,0.5,0.5208333333333334,0.5416666666666666,0.5,0.0,0.0,-0.020833333333333332,0.0,-0.020833333333333332,-0.02083333333333337
exp2,50,10.0,0.125,0.10416666666666667,0.5416666666666666,0.0625,-0.4375,-0.0625,-0.041666666666666664,-0.0625,-0.1875,-0.04166666666666667
exp2,50,50.0,0.20833333333333334,0.1875,0.5416666666666666,0.08333333333333333,-0.4166666666666667,-0.125,-0.10416666666666667,-0.125,-0.14583333333333334,-0.10416666666666667
exp2,51,10.0,0.125,0.10416666666666667,0.4791666666666667,0.5,0.0,0.375,0.3958333333333333,0.375,0.25,0.3958333333333333
exp2,51,50.0,0.20833333333333334,0.1875,0.4166666666666667,0.625,0.125,0.4166666666666667,0.4375,0.4166666666666667,0.3958333333333333,0.4375
exp2,52,10.0,0.125,0.10416666666666667,0.5,0.7291666666666666,0.22916666666666666,0.6041666666666666,0.625,0.6041666666666666,0.4791666666666667,0.625
exp2,52,50.0,0.20833333333333334,0.1875,0.4583333333333333,0.4583333333333333,-0.041666666666666664,0.25,0.2708333333333333,0.25,0.22916666666666666,0.2708333333333333
exp2,53,10.0,0.125,0.10416666666666667,0.5833333333333334,0.8958333333333334,0.3958333333333333,0.7708333333333334,0.7916666666666666,0.7708333333333334,0.6458333333333334,0.7916666666666667
